date,state,dead,confirmed,recovered,day
2020-03-05,SP,0,6,0,0
2020-03-05,TOTAL,0,7,0,0
2020-03-06,SP,0,10,0,1
2020-03-06,TOTAL,0,14,0,1
2020-03-07,SP,0,13,0,2
2020-03-07,TOTAL,0,19,0,2
2020-03-08,SP,0,16,0,3
2020-03-08,TOTAL,0,25,0,3
2020-03-09,SP,0,16,0,4
2020-03-09,TOTAL,0,25,0,4
2020-03-10,RJ,0,8,0,5
2020-03-10,SP,0,19,0,5
2020-03-10,TOTAL,0,34,0,5
2020-03-11,RJ,0,13,0,6
2020-03-11,SP,0,30,0,6
2020-03-11,TOTAL,0,53,0,6
2020-03-12,PR,0,6,0,7
2020-03-12,RJ,0,16,0,7
2020-03-12,SP,0,46,0,7
2020-03-12,TOTAL,0,89,0,7
2020-03-13,BA,0,7,0,8
2020-03-13,PR,0,6,0,8
2020-03-13,RJ,0,16,0,8
2020-03-13,SP,0,56,0,8
2020-03-13,TOTAL,0,106,0,8
2020-03-14,BA,0,7,0,9
2020-03-14,DF,0,8,0,9
2020-03-14,PE,0,7,0,9
2020-03-14,PR,0,6,0,9
2020-03-14,RJ,0,22,0,9
2020-03-14,RS,0,6,0,9
2020-03-14,SP,0,65,0,9
2020-03-14,TOTAL,0,142,0,9
2020-03-15,BA,0,9,0,10
2020-03-15,DF,0,14,0,10
2020-03-15,PE,0,8,0,10
2020-03-15,PR,0,6,0,10
2020-03-15,RJ,0,24,0,10
2020-03-15,RS,0,6,0,10
2020-03-15,SC,0,6,0,10
2020-03-15,SP,0,136,0,10
2020-03-15,TOTAL,0,225,0,10
2020-03-16,BA,0,10,0,11
2020-03-16,CE,0,9,0,11
2020-03-16,DF,0,19,0,11
2020-03-16,GO,0,9,0,11
2020-03-16,MG,0,6,0,11
2020-03-16,PE,0,8,0,11
2020-03-16,PR,0,6,0,11
2020-03-16,RJ,0,31,0,11
2020-03-16,RS,0,8,0,11
2020-03-16,SC,0,7,0,11
2020-03-16,SP,0,152,0,11
2020-03-16,TOTAL,0,279,0,11
2020-03-17,BA,0,14,0,12
2020-03-17,CE,0,10,0,12
2020-03-17,DF,0,22,0,12
2020-03-17,GO,0,10,0,12
2020-03-17,MG,0,14,0,12
2020-03-17,MS,0,6,0,12
2020-03-17,PE,0,18,0,12
2020-03-17,PR,0,12,0,12
2020-03-17,RJ,0,33,0,12
2020-03-17,RS,0,10,0,12
2020-03-17,SC,0,7,0,12
2020-03-17,SP,1,164,0,12
2020-03-17,TOTAL,1,333,0,12
2020-03-18,BA,0,27,0,13
2020-03-18,CE,0,19,0,13
2020-03-18,DF,0,34,0,13
2020-03-18,ES,0,9,0,13
2020-03-18,GO,0,12,0,13
2020-03-18,MG,0,19,0,13
2020-03-18,MS,0,7,0,13
2020-03-18,PE,0,19,0,13
2020-03-18,PR,0,15,0,13
2020-03-18,RJ,0,63,0,13
2020-03-18,RS,0,19,0,13
2020-03-18,SC,0,14,0,13
2020-03-18,SE,0,6,0,13
2020-03-18,SP,4,241,0,13
2020-03-18,TOTAL,4,514,0,13
2020-03-19,BA,0,31,0,14
2020-03-19,CE,0,24,0,14
2020-03-19,DF,0,42,0,14
2020-03-19,ES,0,13,0,14
2020-03-19,GO,0,15,0,14
2020-03-19,MG,0,29,0,14
2020-03-19,MS,0,9,0,14
2020-03-19,PE,0,28,0,14
2020-03-19,PR,0,24,0,14
2020-03-19,RJ,2,66,0,14
2020-03-19,RS,0,31,0,14
2020-03-19,SC,0,21,0,14
2020-03-19,SE,0,6,0,14
2020-03-19,SP,5,286,0,14
2020-03-19,TOTAL,7,643,0,14
2020-03-20,AC,0,7,0,15
2020-03-20,AL,0,6,0,15
2020-03-20,AM,0,7,0,15
2020-03-20,BA,0,34,0,15
2020-03-20,CE,0,68,0,15
2020-03-20,DF,0,87,0,15
2020-03-20,ES,0,16,0,15
2020-03-20,GO,0,18,0,15
2020-03-20,MG,0,38,0,15
2020-03-20,MS,0,12,0,15
2020-03-20,PE,0,31,0,15
2020-03-20,PR,0,37,0,15
2020-03-20,RJ,2,109,0,15
2020-03-20,RN,0,6,0,15
2020-03-20,RS,0,43,0,15
2020-03-20,SC,0,40,0,15
2020-03-20,SE,0,7,0,15
2020-03-20,SP,9,396,0,15
2020-03-20,TOTAL,11,974,0,15
2020-03-21,AC,0,11,0,16
2020-03-21,AL,0,7,0,16
2020-03-21,AM,0,11,0,16
2020-03-21,BA,0,41,0,16
2020-03-21,CE,0,84,0,16
2020-03-21,DF,0,108,0,16
2020-03-21,ES,0,26,0,16
2020-03-21,GO,0,20,0,16
2020-03-21,MG,0,55,0,16
2020-03-21,MS,0,16,0,16
2020-03-21,PE,0,33,0,16
2020-03-21,PR,0,44,0,16
2020-03-21,RJ,3,119,0,16
2020-03-21,RN,0,9,0,16
2020-03-21,RS,0,69,0,16
2020-03-21,SC,0,57,0,16
2020-03-21,SE,0,10,0,16
